Query: 4号大街与9号大街交叉口西侧盛泰北(2门), Truth: 盛泰·时代山(北2门),通行设施,临街院门,临街院正门,4号大街189号,江干区, Distance: 664
	- POI: 4号大街与9号大街交叉口,地名地址信息,交通地名,路口名,江干区,江干区, Distance: 641
	- POI: 清水公寓(东北2门),通行设施,临街院门,临街院门,德胜巷与霞湾巷交叉口西南50米,拱墅区, Distance: 157923
	- POI: 蓝色霞湾2号楼,地名地址信息,门牌信息,楼栋号,假山路100-105号,拱墅区, Distance: 158033
	- POI: 绿郡·人文纪念园(杭州清水公寓门店),风景名胜,风景名胜,纪念馆,假山路与德胜巷交叉口东50米,拱墅区, Distance: 157985
	- POI: 近江花园5号楼,地名地址信息,门牌信息,楼栋号,近江花园(新安路南),建德市, Distance: 40882
	- POI: 富春花园5号楼,地名地址信息,门牌信息,楼栋号,迎春南路富春花园(富春江励骏酒店附近),桐庐县, Distance: 90271
Query: 闻潮尚庭住宅区以北嘉园-7, Truth: 望江家园西园7号楼,地名地址信息,门牌信息,楼栋号,秋涛路望江家园西园7幢,上城区, Distance: 769
	- POI: 闻潮尚庭,商务住宅,住宅区,住宅小区,银鼓路与闻潮路交叉口北150米,上城区, Distance: 829
	- POI: 南城嘉园-东区,商务住宅,住宅区,住宅区,来娘线西50米,萧山区, Distance: 15405
	- POI: 转塘家园-7幢四单元,商务住宅,住宅区,住宅区,午山社区东环路转塘家园,西湖区, Distance: 12944
	- POI: 闻潮尚庭(北门),通行设施,临街院门,临街院门,秋涛路67号附近,上城区, Distance: 740
	- POI: 塘栖嘉园小区,商务住宅,住宅区,住宅小区,景河路26号,余杭区, Distance: 27770
	- POI: 闻潮尚庭2幢,地名地址信息,门牌信息,楼栋号,银鼓路313号,上城区, Distance: 757
	- POI: 闻潮尚庭停车场(出入口),交通设施服务,停车场,停车场出入口,银鼓路与闻潮路交叉口东北100米,上城区, Distance: 770
	- POI: 闻潮尚庭停车场,交通设施服务,停车场,专用停车场,银鼓路与闻潮路交叉口东北100米,上城区, Distance: 776
	- POI: 闻潮尚庭(东南门),通行设施,临街院门,临街院门,银鼓路与闻潮路交叉口东北100米,上城区, Distance: 783
	- POI: 闻潮尚庭物业服务中心,公司企业,公司,公司,紫阳街道甬江社区银鼓路309号,上城区, Distance: 795
	- POI: 闻潮尚庭4幢,地名地址信息,门牌信息,楼栋号,银鼓路309号,上城区, Distance: 811
	- POI: 闻潮尚庭1幢,地名地址信息,门牌信息,楼栋号,上城区,上城区, Distance: 826
	- POI: 闻潮尚庭3幢,地名地址信息,门牌信息,楼栋号,银鼓路313号,上城区, Distance: 845
	- POI: 闻潮尚庭6幢,地名地址信息,门牌信息,楼栋号,上城区,上城区, Distance: 864
	- POI: 闻潮尚庭5幢,地名地址信息,门牌信息,楼栋号,上城区,上城区, Distance: 898
	- POI: 绿风文化创意产业园-花园生活电子商务有限公司,商务住宅,商务住宅相关,商务住宅相关,四季青街道景芳路59号绿色文化创意产业园区,江干区, Distance: 4460
	- POI: 上尚庭,商务住宅,住宅区,住宅小区,塘萍路155号,拱墅区, Distance: 11177
	- POI: 闻家堰社区便民服务中心,商务住宅,住宅区,社区中心,水田畈路89-8号,萧山区, Distance: 11570
	- POI: 之江家园-龙王居,商务住宅,住宅区,住宅区,东环路与转之路交叉口西150米,西湖区, Distance: 13650
	- POI: 亲亲家园-青梅坊,商务住宅,住宅区,住宅区,古墩路与金家渡路交叉口,余杭区, Distance: 15811
Query: 桃源幼儿园旁边金星桃园28幢, Truth: 金星桃源居28幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 498
	- POI: 杭州市桃源幼儿园,科教文化服务,学校,幼儿园,半山桃源新区桃源新区翠锦路111号,拱墅区, Distance: 440
	- POI: 杭州市桃源幼儿园(东南门),通行设施,临街院门,临街院正门,翠锦路111,拱墅区, Distance: 443
	- POI: 金星桃源居21幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 352
	- POI: 金星桃源居20幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 369
	- POI: 金星桃源居8号楼,地名地址信息,门牌信息,楼栋号,金星桃源居8幢,拱墅区, Distance: 417
	- POI: 金星桃源居2幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 529
	- POI: 金星桃源居12幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 558
	- POI: 金星桃源居22幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 602
	- POI: 金星桃源居32号楼,地名地址信息,门牌信息,楼栋号,金星桃源居32幢,拱墅区, Distance: 607
	- POI: 启源幼儿园2期(建设中),科教文化服务,学校,幼儿园,启源幼儿园以西,江干区, Distance: 20776
	- POI: 金星桃源居7号楼,地名地址信息,门牌信息,楼栋号,金星桃源居7幢,拱墅区, Distance: 390
	- POI: 金星桃源居6幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 403
	- POI: 金星桃源居5幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 454
	- POI: 金星桃源居1幢,地名地址信息,门牌信息,楼栋号,桃源街金星桃源居1幢,拱墅区, Distance: 467
	- POI: 金星桃源居14幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 482
	- POI: 金星桃源居3幢,地名地址信息,地名地址信息,地名地址信息,拱墅区,拱墅区, Distance: 512
	- POI: 金星桃源居10号楼,地名地址信息,门牌信息,楼栋号,金星桃源居10幢,拱墅区, Distance: 537
	- POI: 金星桃源居11幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 551
	- POI: 金星桃源居13幢,地名地址信息,门牌信息,楼栋号,拱墅区,拱墅区, Distance: 567
	- POI: 金星桃源居31号楼,地名地址信息,门牌信息,楼栋号,金星桃源居31幢,拱墅区, Distance: 575
Query: 中国美术学院南山4校区附近庙, Truth: 杭州孔庙-法帖廊,风景名胜,风景名胜相关,旅游景点,劳动路与紫薇街交叉口西北100米,上城区, Distance: 767
	- POI: 中国美术学院南山校区停车场(出入口),交通设施服务,停车场,专用停车场,劳动路127-8号楼附近,上城区, Distance: 916
	- POI: 中国美术学院南山校区停车场(入口),交通设施服务,停车场,停车场入口,南山路103-3号附近,上城区, Distance: 941
	- POI: 中国美术学院(南山校区)1号楼C座,科教文化服务,学校,学校,劳动路127-8号楼附近,上城区, Distance: 891
	- POI: 定安路社区居民事务中心,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,后市街125号,上城区, Distance: 0
	- POI: 中共定安路社区委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,后市街125号,上城区, Distance: 0
	- POI: 中国美术学院南山校区-会议中心,科教文化服务,科教文化场所,科教文化场所,南山路与绿杨路交叉口东南150米,上城区, Distance: 808
	- POI: 中国美术学院南山校区(南2门),通行设施,临街院门,临街院门,[],上城区, Distance: 818
	- POI: 中国美术学院南山校区医务室,医疗保健服务,诊所,诊所,南山路218号,上城区, Distance: 833
	- POI: 中国美术学院南山校区学生公寓,商务住宅,商务住宅相关,商务住宅相关,南山路218号,上城区, Distance: 844
	- POI: 中国美术学院(南山校区)1号楼B座,商务住宅,楼宇,商务写字楼,南山路218号附近,上城区, Distance: 845
	- POI: 中国美术学院(南山校区)1号楼A座,商务住宅,楼宇,商务写字楼,南山路218号附近,上城区, Distance: 860
	- POI: 中国美术学院南山校区,科教文化服务,学校,高等院校,南山路218号,上城区, Distance: 879
	- POI: 定安路社区星光老年之家,生活服务,生活服务场所,生活服务场所,后市街125号,上城区, Distance: 0
	- POI: 中国美术学院南山校区停车场,交通设施服务,停车场,专用停车场,南山路218号中国美术学院南山校区,上城区, Distance: 913
	- POI: 中国美术学院南山校区(西1门),通行设施,临街院门,临街院门,南山路218号,上城区, Distance: 940
	- POI: 中国美术学院南山校区(西北门),通行设施,临街院门,临街院正门,南山路218号,上城区, Distance: 941
	- POI: 中国美术学院南山校区(南门),通行设施,临街院门,临街院门,南山路218号,上城区, Distance: 959
	- POI: 中国美术学院南山校区-敦品·设计店,科教文化服务,展览馆,展览馆,南山路214号,上城区, Distance: 1014
	- POI: 定安路社区劳动和社会保障服务室,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,后市街125号,上城区, Distance: 0
	- POI: 定安路社区居委会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,后市街125号,上城区, Distance: 0
Query: 浙大路18-1号浙大小区19号楼, Truth: 求是村19栋,地名地址信息,门牌信息,楼栋号,求是路浙大求是村小区19幢,西湖区, Distance: 538
	- POI: 曙光路小区129-131号楼,地名地址信息,门牌信息,楼栋号,西湖区,西湖区, Distance: 538
	- POI: 玉古路小区167-169号楼,地名地址信息,门牌信息,楼栋号,西湖区,西湖区, Distance: 977
	- POI: 老浙大直路19号楼,地名地址信息,门牌信息,楼栋号|地名地址信息,门牌信息,道路门牌,老浙大直路17-1号,上城区, Distance: 5434
	- POI: 老浙大直路19号-1单元,地名地址信息,门牌信息,门牌信息,老浙大直路19号,上城区, Distance: 5453
	- POI: 曙光路121号小区1号楼,地名地址信息,门牌信息,楼栋号,西湖区,西湖区, Distance: 439
	- POI: 浙江大学玉泉校区学生宿舍18号楼,商务住宅,住宅区,宿舍,浙大路38号浙江大学玉泉校区,西湖区, Distance: 883
	- POI: 朱家角康乐小区181-1号,地名地址信息,门牌信息,楼栋号,兴元路与兴盛路交叉口东南200米,余杭区, Distance: 24279
	- POI: 朱家角康乐小区194-1号,地名地址信息,门牌信息,楼栋号,兴元路与兴盛路交叉口东南200米,余杭区, Distance: 24299
	- POI: 浙新小区18号楼,地名地址信息,门牌信息,楼栋号,滨文路北200米,滨江区, Distance: 9659
	- POI: 浙江大学西溪校区学生公寓19号楼,商务住宅,住宅区,宿舍,天目山路148号浙江大学西溪校区,西湖区, Distance: 2377
	- POI: 小米巷小区19号楼,地名地址信息,门牌信息,楼栋号,小米巷19幢,上城区, Distance: 5347
	- POI: 老浙大直路19号-3单元,地名地址信息,门牌信息,门牌信息,老浙大直路19号,上城区, Distance: 5421
	- POI: 曙光路121号小区2号楼,地名地址信息,门牌信息,楼栋号,西湖区,西湖区, Distance: 426
	- POI: 曙光路121号小区5号楼,地名地址信息,门牌信息,楼栋号,西湖区,西湖区, Distance: 432
	- POI: 曙光路121号小区4号楼,地名地址信息,门牌信息,楼栋号,西湖区,西湖区, Distance: 445
	- POI: 浙大求是社区(南1门),通行设施,临街院门,临街院正门,浙大路18-1号,西湖区, Distance: 176
	- POI: 朱家角康乐小区193-1号,地名地址信息,门牌信息,楼栋号,兴盛路北150米,余杭区, Distance: 24332
	- POI: 朱家角康乐小区192-1号,地名地址信息,门牌信息,楼栋号,兴盛路东150米,余杭区, Distance: 24353
	- POI: 朱家角康乐小区238-1号,地名地址信息,门牌信息,楼栋号,兴元路与兴起路交叉口南150米,余杭区, Distance: 24563
	- POI: 老浙大直路17-1号-3单元,商务住宅,住宅区,住宅区,翰林街与老浙大直路交叉口南50米,上城区, Distance: 5419
Query: 南丰村居家养老服务照料中心东南边萧山南阳天女伞厂, Truth: 杭州萧山阳天女伞厂,公司企业,工厂,工厂,港城大道南150米附近,萧山区, Distance: 24981
	- POI: 南朔村居家养老服务照料中心,体育休闲服务,度假疗养场所,疗养院,南阳街道振阳路南翔公园附近,萧山区, Distance: 26449
	- POI: 丰北村居家养老服务照料中心,生活服务,生活服务场所,生活服务场所,利丰路653号附近,萧山区, Distance: 8612
	- POI: 盈一村居家养老服务照料中心,生活服务,生活服务场所,生活服务场所,鸿宁路与鸿达路交叉口南100米萧山图书馆盈一村分馆附近,萧山区, Distance: 9115
	- POI: 新林周村居家养老服务照料中心(南门),通行设施,临街院门,临街院正门,海塘路附近,萧山区, Distance: 20666
	- POI: 卫东桥社区居家养老服务照料中心(东南门),通行设施,临街院门,临街院正门,桥森弄2号,萧山区, Distance: 37027
	- POI: 山后村居家养老服务照料中心,体育休闲服务,度假疗养场所,疗养院,排山线与时代大道交叉口西南200米,萧山区, Distance: 16410
	- POI: 和睦社区居家养老服务照料中心(东南门),通行设施,临街院门,临街院正门,登云路与赵伍路交叉口西150米,拱墅区, Distance: 8302
	- POI: 芝兰村居家养老服务照料中心,体育休闲服务,度假疗养场所,疗养院,大治河直路与横新塘路交叉口东200米,萧山区, Distance: 20477
	- POI: 尖山村居家养老服务照料中心,生活服务,生活服务场所,生活服务场所,兴浦路与振浦路交叉口北150米,萧山区, Distance: 30289
	- POI: 定安路社区居家养老服务照料中心,政府机构及社会团体,政府及社会团体相关,政府及社会团体相关,后市街143-4号附近,上城区, Distance: 227
	- POI: 戴家桥社区居家养老服务照料中心(南门),通行设施,临街院门,临街院正门,峙山北路与浴美施路交叉口西北150米,萧山区, Distance: 23752
	- POI: 宁东社区居家养老服务照料中心,体育休闲服务,度假疗养场所,疗养院,宁税路与建设四路交叉口南200米,萧山区, Distance: 11539
	- POI: 宁新村居家养老服务照料中心,生活服务,生活服务场所,生活服务场所,通惠北路1216号附近,萧山区, Distance: 12293
	- POI: 盛乐村居家养老服务照料中心,生活服务,生活服务场所,生活服务场所,新街镇盛乐村,萧山区, Distance: 14061
	- POI: 裘江新村居家养老服务照料中心,体育休闲服务,休闲场所,休闲场所,[],萧山区, Distance: 17566
	- POI: 华丰社区居家养老服务照料中心(华丰社区卫生服务站西南),生活服务,生活服务场所,生活服务场所,华丰新村25-1,拱墅区, Distance: 8529
	- POI: 联三村居家养老服务照料中心,生活服务,生活服务场所,生活服务场所,富天路北50米,萧山区, Distance: 19292
	- POI: 凤麟社区居家养老服务照料中心(东北门),通行设施,临街院门,临街院正门,大和弄与麒麟街交叉口西50米,下城区, Distance: 2209
	- POI: 新林周村居家养老服务照料中心,体育休闲服务,度假疗养场所,疗养院,[],萧山区, Distance: 20667
	- POI: 吟龙村居家养老服务照料中心,体育休闲服务,度假疗养场所,疗养院,吟新路23号附近,萧山区, Distance: 21746
Query: 小河下南边停车场(出入口), Truth: 葵巷社区南区地上停车场(出入口),交通设施服务,停车场,停车场出入口,解放路54号,上城区, Distance: 6146
	- POI: 小河直街停车场(出入口),交通设施服务,停车场,停车场出入口,和睦路东50米,拱墅区, Distance: 1776
	- POI: 东杭大运河·杭州东二停车场(出入口),交通设施服务,停车场,停车场出入口,丽水路与仁和仓北弄交叉口南50米,拱墅区, Distance: 611
	- POI: 绿城西子·紫兰公寓南区停车场(出入口),交通设施服务,停车场,停车场出入口,湖墅北路与贾家弄交叉口西50米,拱墅区, Distance: 256
	- POI: 绿城西子·紫兰公寓南区停车场(出入口),交通设施服务,停车场,停车场出入口,湖墅北路60号附近,拱墅区, Distance: 263
	- POI: 墅林苑小区地上停车场(出入口),交通设施服务,停车场,停车场出入口,莫干山路314号,拱墅区, Distance: 331
	- POI: 拱墅区行政服务中心地下停车场(出入口),交通设施服务,停车场,停车场出入口,湖墅北路与珠儿潭巷交叉口西50米,拱墅区, Distance: 337
	- POI: 金海岸演艺大舞台地下停车场(出入口),交通设施服务,停车场,停车场出入口,草营巷8号,拱墅区, Distance: 380
	- POI: 珠儿潭社区停车场(出入口),交通设施服务,停车场,停车场出入口,贾家弄1号,拱墅区, Distance: 146
	- POI: 卖鱼桥社区地上停车场(出入口),交通设施服务,停车场,停车场出入口,钟衙弄与锦带弄交叉口南50米,拱墅区, Distance: 408
	- POI: 杨家门小区地上停车场(出入口),交通设施服务,停车场,停车场出入口,莫干山路与贾家弄交叉口,拱墅区, Distance: 484
	- POI: 大浒西苑南区地下停车场(出入口),交通设施服务,停车场,停车场出入口,上塘路587号,拱墅区, Distance: 1637
	- POI: 墨香苑地下停车场(出入口),交通设施服务,停车场,停车场出入口,莫干山路719-739号,拱墅区, Distance: 510
	- POI: 河东路停车场(出入口),交通设施服务,停车场,停车场出入口,华电弄与河东路交叉口西北100米,下城区, Distance: 1676
	- POI: 停车场(出入口),交通设施服务,停车场,停车场出入口,嘉墅街与贾家弄交叉口西50米,拱墅区, Distance: 192
	- POI: 杭州运河契弗利酒店停车场(出入口),交通设施服务,停车场,停车场出入口,丽水路与大兜路交叉口西北50米,拱墅区, Distance: 571
	- POI: 信义巷停车场(出入口),交通设施服务,停车场,停车场出入口,信义巷与莫干山路交叉口东100米,拱墅区, Distance: 208
	- POI: 杭州市新华实验小学停车场(出入口),交通设施服务,停车场,停车场出入口,叶青兜路48号号附近,下城区, Distance: 1913
	- POI: 湖墅嘉园地下停车场(出入口),交通设施服务,停车场,停车场出入口,湖墅北路78号,拱墅区, Distance: 591
	- POI: 富义仓公园停车场(出入口),交通设施服务,停车场,停车场出入口,丽水路与大兜路交叉口南50米,拱墅区, Distance: 666
	- POI: 胜月院小区16幢地下停车场(出入口),交通设施服务,停车场,停车场出入口,拱宸桥衢州街41号,拱墅区, Distance: 2301
Query: 金都华府西南方向候潮门社区14号楼, Truth: 候潮公寓14号楼,地名地址信息,门牌信息,楼栋号,江城路候潮公寓14幢,上城区, Distance: 14782
	- POI: 招商银行24小时自助银行(候潮门社区西北),金融保险服务,自动提款机,招商银行ATM,江城路256-23号,上城区, Distance: 14728
	- POI: 候潮门社区(西南门),通行设施,临街院门,临街院门,兴加儿巷与江城路交叉口北150米,上城区, Distance: 14775
	- POI: 金苹果教育(候潮门社区东),科教文化服务,培训机构,培训机构,候潮路8-1号,上城区, Distance: 14991
	- POI: 金都华府(西南1门),通行设施,临街院门,临街院门,候潮路8号,上城区, Distance: 15015
	- POI: 上城区公安分局紫阳派出所候潮门社区警务室,政府机构及社会团体,公检法机构,公安警察,侯潮路52号附近,上城区, Distance: 14783
	- POI: 候潮门社区便民服务点,商务住宅,住宅区,社区中心,江城路256-1号,上城区, Distance: 14842
	- POI: 候潮门社区(西门),通行设施,临街院门,临街院门,江城路262号附近,上城区, Distance: 14706
	- POI: 中共紫阳街道候潮门社区委员会,政府机构及社会团体,政府机关,政府机关相关,江城路15号附近,上城区, Distance: 14820
	- POI: 中共候潮门社区委员会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,候潮路40号附近,上城区, Distance: 14825
	- POI: 金都华府(西南3门),通行设施,临街院门,临街院正门,候潮路8号,上城区, Distance: 14961
	- POI: 金都华府(西南2门),通行设施,临街院门,临街院正门,候潮路8号,上城区, Distance: 14971
	- POI: 紫阳街道候潮门社区居民服务中心,商务住宅,住宅区,社区中心,候潮路40号附近,上城区, Distance: 14825
	- POI: 越界·锦绣工坊14号楼(西南门),通行设施,建筑物门,建筑物正门,水门南弄3号,上城区, Distance: 14743
	- POI: 候潮门社区居委会,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,候潮公寓8幢旁,上城区, Distance: 14825
	- POI: 候潮门社区公共服务工作站,生活服务,生活服务场所,生活服务场所,候潮路40号附近,上城区, Distance: 14825
	- POI: 候潮门社区地上停车场,交通设施服务,停车场,路边停车场,候潮路22号附近,上城区, Distance: 14932
	- POI: 富力·西溪悦居北区14号楼,地名地址信息,门牌信息,楼栋号,余杭区,余杭区, Distance: 599
	- POI: 朝晖三小区14号楼,地名地址信息,门牌信息,楼栋号,文昌巷与群艺弄交叉口南50米,下城区, Distance: 12448
	- POI: 候潮门社区,商务住宅,住宅区,住宅小区,江城路,上城区, Distance: 14779
	- POI: 候潮门社区(东北门),通行设施,临街院门,临街院门,上仓桥路与江城路交叉口东南150米,上城区, Distance: 14781
Query: 备塘路和元宝塘南巷的交叉口附近彭埠有限公司, Truth: 杭州彭埠蔬菜有限公司,购物服务,综合市场,蔬菜市场,艮山西路8号钱威商务楼,江干区, Distance: 125650
	- POI: 杭州博望建设工程招标投标代理有限公司,公司企业,公司,公司,新安东路253号新安财富城b座12楼,建德市, Distance: 1
	- POI: 杭州市江干区彭埠供销有限公司(环站南路),公司企业,公司,公司|购物服务,购物相关场所,购物相关场所,备塘弄与环站南路交叉口北50米,江干区, Distance: 126980
	- POI: 浙江钜元建设有限公司,公司企业,公司,公司,新安东路253号新安财富城b座6幢19层,建德市, Distance: 2
	- POI: 民生人寿保险股份有限公司(建德营销服务部),金融保险服务,金融保险服务机构,金融保险机构,新安东路253号新安财富城b座6幢10层,建德市, Distance: 1
	- POI: 都邦财产保险股份有限公司,金融保险服务,金融保险服务机构,金融保险机构,新安东路253号新安财富城b座6幢13层,建德市, Distance: 1
	- POI: 浙江鸿昌电力工程有限公司,公司企业,公司,公司,新安东路253号新安财富城b座6幢16层,建德市, Distance: 1
	- POI: 建德市言真装饰设计工程有限公司,公司企业,公司企业,公司企业,明珠路与田明路交叉口南50米,建德市, Distance: 494
	- POI: 建德祥和商贸有限公司总代理,购物服务,专卖店,烟酒专卖店,仁爱路62-66号附近,建德市, Distance: 47
	- POI: 淳安千岛湖旅游交通有限公司(西北门),通行设施,临街院门,临街院门,梦姑路与滨湖景观大道交叉口南50米,淳安县, Distance: 29427
	- POI: 中国联合网络通信有限公司建德分公司,公司企业,公司,电信公司,新安路与电力巷交叉口西100米,建德市, Distance: 2547
	- POI: 建德市华新建筑有限公司(仁爱路),公司企业,公司,建筑公司,新安东路273-1号附近,建德市, Distance: 132
	- POI: 中共建德市华熠企业管理咨询服务有限公司支部委员会,政府机构及社会团体,政府机关,政府机关相关,国信路193-195号附近,建德市, Distance: 363
	- POI: 建德市开翔装饰有限公司,公司企业,公司,广告装饰,新安东路与明珠路交叉口西50米,建德市, Distance: 382
	- POI: 建德市新安江特种拉丝模有限公司(西南门),通行设施,临街院门,临街院正门,新安东路215-1号附近,建德市, Distance: 178
	- POI: 建德广元建设有限公司(新安东路),公司企业,公司,建筑公司,新安东路233号3楼,建德市, Distance: 85
	- POI: 建德铭通广告装潢有限公司制作车间,公司企业,公司,广告装饰,广兴北路与新安东路交叉口西北150米,建德市, Distance: 136
	- POI: 华泰保险股份有限公司(建德店),金融保险服务,保险公司,华泰财产保险股份有限公司,东山湾路与严州大道交叉口西南100米,建德市, Distance: 874
	- POI: 建德市交通投资有限公司(田源路),金融保险服务,金融保险服务机构,金融保险机构,新安东路283号4层,建德市, Distance: 158
	- POI: 浙江哈内斯特进出口有限公司,公司企业,公司,商业贸易,新安东路233号6楼,建德市, Distance: 85
	- POI: 建德市亦轩光伏设备安装有限公司,公司企业,公司,公司,严州大道与洋富潭路交叉口北150米,建德市, Distance: 1236
Query: 欢乐大道东边天苑2号楼-6, Truth: 天星苑2-6号,地名地址信息,门牌信息,楼栋号,余杭区,余杭区, Distance: 813
	- POI: 公众房网(欢乐大道),生活服务,中介机构,中介机构,欢乐大道广厦天都城天星苑2-3号,余杭区, Distance: 822
	- POI: 欢乐大道停车场,交通设施服务,停车场,路边停车场,苑3-5号附近(近周杨社区便民服务中心849),余杭区, Distance: 693
	- POI: 周杨社区居委会(欢乐大道),政府机构及社会团体,政府机关,乡镇以下级政府及事业单位,苑3之5-6,余杭区, Distance: 762
	- POI: 中国邮政服务站(欢乐大道),生活服务,邮局,邮政速递,苑3-5号(近欢乐大道),余杭区, Distance: 766
	- POI: 美迪嘉专业不动产(欢乐大道),生活服务,中介机构,中介机构,欢乐大道天星苑4-5号,余杭区, Distance: 773
	- POI: 杭州华联超市(欢乐大道),购物服务,便民商店/便利店,便民商店/便利店,天水苑1-2,余杭区, Distance: 778
	- POI: 西北牛肉面(欢乐大道),餐饮服务,中餐厅,清真菜馆,星桥街道广厦天都城天水苑1幢1-4室,余杭区, Distance: 803
	- POI: 广厦天都城天风苑26号楼,地名地址信息,门牌信息,楼栋号,星都大道广厦天都城天风苑26号楼,余杭区, Distance: 343
	- POI: 广厦天都城天风苑32号楼,地名地址信息,门牌信息,楼栋号,广厦天都城天风苑(欢东路东),余杭区, Distance: 386
	- POI: 广厦天都城.天月苑25号楼,地名地址信息,门牌信息,楼栋号,广厦天都城天月苑(欢东路东),余杭区, Distance: 394
	- POI: 天水苑2号楼,地名地址信息,门牌信息,楼栋号,星桥街道民乐社区天都大道天水苑旁,余杭区, Distance: 720
	- POI: 广厦天都城天湖苑2号楼,地名地址信息,门牌信息,楼栋号,天祥西路香榭社区广厦天都城天湖苑,余杭区, Distance: 80
	- POI: 广厦天都城天湖苑22号楼,地名地址信息,门牌信息,楼栋号,余杭区,余杭区, Distance: 173
	- POI: 东海·水景城鼎苑2号楼,地名地址信息,门牌信息,楼栋号,世纪大道西501号东海·水景城,余杭区, Distance: 4814
	- POI: 广厦天都城天湖苑26号楼,地名地址信息,门牌信息,楼栋号,余杭区,余杭区, Distance: 194
	- POI: 天泉苑23号楼,地名地址信息,门牌信息,楼栋号,星桥街道欢东路香榭社区天泉苑,余杭区, Distance: 237
	- POI: 天都城温莎花园2号楼,地名地址信息,门牌信息,楼栋号,临丁路与欢乐大道交叉口(临上塘河和天都公园)天都城温莎花园,余杭区, Distance: 304
	- POI: 大关东九苑22号楼,地名地址信息,门牌信息,楼栋号,绍兴路525附近,拱墅区, Distance: 12135
	- POI: 大关西五苑2号楼,地名地址信息,门牌信息,楼栋号,大关苑路49-71号,拱墅区, Distance: 12387
	- POI: 广厦天都城天风苑12号楼,地名地址信息,门牌信息,楼栋号,星桥街道天都大道广厦天都城天风苑,余杭区, Distance: 358
Query: 银鼓路东南角菜, Truth: 山上土菜(婺江店),餐饮服务,中餐厅,中餐厅,婺江路388号一层1-16号,上城区, Distance: 1250
	- POI: 余杭塘路莫干山路东南角自行车租赁点,生活服务,生活服务场所,生活服务场所,余杭塘路22号附近,拱墅区, Distance: 7980
	- POI: 沈家路东新路东南角自行车租赁点,生活服务,生活服务场所,生活服务场所,沈家路与重机巷交叉口东南50米,下城区, Distance: 8165
	- POI: 东新路石祥路东南角自行车租赁点,生活服务,生活服务场所,生活服务场所,东新路与石祥路交叉口东南50米,下城区, Distance: 9296
	- POI: 临丁路石桥路东南角自行车租赁点,生活服务,生活服务场所,生活服务场所,石桥路531附近,下城区, Distance: 11362
	- POI: 三墩路长阳路东南角自行车租赁点,生活服务,生活服务场所,生活服务场所,三墩路336-440号附近,西湖区, Distance: 13291
	- POI: 望江东路与银鼓路交叉口,地名地址信息,交通地名,路口名,上城区,上城区, Distance: 1942
	- POI: 萍水东路塘中路口东南角自行车租赁点,生活服务,生活服务场所,生活服务场所,萍水街319号附近,拱墅区, Distance: 10616
	- POI: 浙江省气象局(银鼓路),政府机构及社会团体,政府机关,省直辖市级政府及事业单位,钱江路139防雷科技大厦,上城区, Distance: 3385
	- POI: 近江路与银鼓路交叉口,地名地址信息,交通地名,路口名,上城区,上城区, Distance: 1067
	- POI: 思潮巷与银鼓路交叉口,地名地址信息,交通地名,路口名,上城区,上城区, Distance: 1067
	- POI: 千年舟板材(银鼓路),购物服务,家居建材市场,建材五金市场,近江路14号附近,上城区, Distance: 1122
	- POI: 金利源板材(银鼓路),购物服务,家居建材市场,建材五金市场,近江路14号附近,上城区, Distance: 1126
	- POI: 华润漆(银鼓路),购物服务,家居建材市场,建材五金市场,近江五金锁具市场1-35,上城区, Distance: 1128
	- POI: 立邦漆专卖店(银鼓路),购物服务,家居建材市场,建材五金市场,望江街道近江五金锁具市场(秋涛路),上城区, Distance: 1131
	- POI: 婺江路与银鼓路交叉口,地名地址信息,交通地名,路口名,上城区,上城区, Distance: 1272
	- POI: 银鼓路停车场,交通设施服务,停车场,公共停车场,婺江路39号附近,上城区, Distance: 1328
	- POI: 豪世华邦(银鼓路),生活服务,中介机构,中介机构,望江街道东宝路23号,上城区, Distance: 1381
	- POI: 沙地路与银鼓路交叉口,地名地址信息,交通地名,路口名,上城区,上城区, Distance: 1942
	- POI: 银鼓路与闻潮路交叉口,地名地址信息,交通地名,路口名,上城区,上城区, Distance: 2127
	- POI: 铜鼓路与银鼓路交叉口,地名地址信息,交通地名,路口名,上城区,上城区, Distance: 2241
